34153417 | Association | COVID-19 | MIR340
32067111 | Association | Neoplasms | TNFSF10
32067111 | Negative_Correlation | Triple Negative Breast Neoplasms | MICA
32067111 | Association | Neoplasms | FASLG
32067111 | Association | Breast Neoplasms | MICA
32067111 | Association | Triple Negative Breast Neoplasms | CD8A
32067111 | Association | Breast Neoplasms | TNFSF10
32067111 | Positive_Correlation | Triple Negative Breast Neoplasms | TNFSF10
41066547 | Association | Neoplasms | CXCL9
41066547 | Association | Neoplasms | IFNG
41066547 | Negative_Correlation | KDM1A | CXCR3
41066547 | Association | CXCR3 | IFNG
41066547 | Association | Neoplasms | KDM1A
41066547 | Negative_Correlation | KDM1A | BATF3
41066547 | Association | Squamous Cell Carcinoma of Head and Neck | KDM1A
41066547 | Negative_Correlation | KDM1A | CXCL9
41066547 | Negative_Correlation | KDM1A | HLA-A
41066547 | Negative_Correlation | KDM1A | CD4
41066547 | Association | Squamous Cell Carcinoma of Head and Neck | CD4
41066547 | Association | IFNG | CXCL9
41066547 | Negative_Correlation | KDM1A | CD8A
41066547 | Association | Squamous Cell Carcinoma of Head and Neck | CD8A
41066547 | Negative_Correlation | KDM1A | IFNG
41066547 | Association | Neoplasms | CXCR3
41046927 | Negative_Correlation | nirmatrelvir and ritonavir drug combination | Cardiac Output Low
41046927 | Cotreatment | molnupiravir | nirmatrelvir and ritonavir drug combination
41046927 | Negative_Correlation | nirmatrelvir and ritonavir drug combination | Kidney Diseases
41046927 | Negative_Correlation | nirmatrelvir and ritonavir drug combination | Liver Failure Acute
41011847 | Association | COVID-19 | CD8A
